"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"11913","34344","2020",862,70,792,175732.7,4461.617,38.55104
"11914","35001","2020",76,44,32,233753.5,2582.105,91.17105
"11915","35002","2020",17,17,0,234726.9,1841.706,129.2353
"11916","35003","2020",11,11,0,221007.3,1984,115.0909
"11917","35004","2020",57,56,1,104910.8,1088.93,99.82456
"11918","35005","2020",4,4,0,100500,756.5,109.5
"11919","35006","2020",53,48,5,180419.5,1714.453,110.3774
"11920","35007","2020",5,5,0,190360,1994.6,96.2
"11921","35008","2020",9,9,0,127482.2,1503.778,84.11111
"11922","35009","2020",26,25,1,168287.6,1686.5,105.6538
"11923","35010","2020",20,20,0,153786,1677.8,101.8
"11924","35012","2020",98,71,27,159771.8,1830.265,89.63265
"11925","35013","2020",44,44,0,141982.3,1331,103.8182
"11926","35014","2020",32,30,2,156950.3,1554.594,102.75
"11927","35015","2020",20,20,0,173146.8,1401.85,126.1
"11928","35016","2020",26,26,0,150629.2,1591.846,103.9615
"11929","35017","2020",10,10,0,195771.3,1889.5,102
"11930","35018","2020",13,12,1,119634.6,1156.538,107.6154
"11931","35019","2020",26,26,0,104937.5,1117.577,91.42308
"11932","35021","2020",17,17,0,200502.6,2097.882,100.9412
"11933","35022","2020",16,13,3,163440.2,1648.25,97.3125
"11934","35023","2020",61,50,11,199266.7,1986.279,103.4262
"11935","35024","2020",133,89,44,286783,2903.895,100.1278
"11936","35025","2020",13,13,0,136300,1343.308,105
"11937","35027","2020",31,31,0,163074.8,1527.258,109.7097
"11938","35028","2020",14,14,0,144401.4,1572.714,94.42857
"11939","35029","2020",20,20,0,139473,1472.55,97.75
"11940","35030","2020",6,6,0,184300,1652.5,104.5
"11941","35031","2020",63,60,3,211048,2101.476,101.6349
"11942","35032","2020",81,60,21,220235,2249.333,102.0741
"11943","35033","2020",42,35,7,177775.8,1845.905,94.88095
"11944","35034","2020",27,26,1,113901.9,1373,83.85185
"11945","35035","2020",8,8,0,182500,1558.125,120.875
"11946","35037","2020",80,62,18,205650.4,2153.762,96.25
"11947","35038","2020",4,4,0,145815.8,1422.5,102
"11948","35039","2020",24,19,5,198623.1,2205.417,95.41667
"11949","35040","2020",45,37,8,190869.3,2142.578,92.26667
"11950","35041","2020",8,8,0,167741,1596.375,103.875
"11951","35042","2020",12,12,0,126873.3,1186.917,109.25
"11952","35044","2020",5,5,0,102600,1552.2,83
"11953","35045","2020",6,6,0,100665,1484.167,83
"11954","35046","2020",9,9,0,106600,1302.222,84.77778
"11955","35047","2020",260,147,113,237046.3,2750.185,88.41923
"11956","35049","2020",158,97,61,259079.5,3201.728,85.75949
"11957","35050","2020",7,7,0,170298,1615.571,117.2857
"11958","35051","2020",198,102,96,332108.7,3632.475,91.78788
"11959","35052","2020",4,4,0,193875,1541.75,127.25
"11960","35054","2020",18,18,0,204794.4,1861,108.7222
"11961","35055","2020",168,57,111,222584.4,2813.554,79.09524
"11962","35056","2020",12,12,0,145005.2,1551,93.33333
"11963","35057","2020",28,23,5,118060.4,1402.107,83.5
"11964","35058","2020",19,19,0,200955.7,1983.526,104.6316
"11965","35059","2020",55,38,17,242348,2514.855,96.87273
"11966","35060","2020",12,12,0,178151.7,1751.917,102.3333
"11967","35061","2020",3,3,0,129000,1388.333,96.66667
"11968","35062","2020",15,15,0,120619.7,1247.4,93.06667
"11969","35063","2020",3,3,0,117000,1048.333,105.3333
"11970","35064","2020",18,18,0,106005.2,1076.222,97
"11971","35065","2020",23,18,5,176647,2514.87,79.34783
"11972","35066","2020",147,66,81,199832.5,2455.272,82.42857
"11973","35067","2020",24,24,0,242799.9,2143.125,115.4167
"11974","35068","2020",98,77,21,190397.7,2182.592,88.42857
"11975","35069","2020",159,123,36,238071.5,2317.22,104.4151
"11976","35070","2020",27,24,3,200816.3,1917.407,108
"11977","35071","2020",4,4,0,170000,1688.5,106
"11978","35072","2020",13,13,0,110500,1239.308,100.0769
"11979","35075","2020",11,11,0,144635.7,1310.636,126.2727
"11980","35076","2020",65,41,24,197883.6,2291.215,89.53846
"11981","35077","2020",8,8,0,98304.38,839.375,118.5
"11982","35078","2020",26,26,0,182217.7,1867.038,99.65385
"11983","35079","2020",21,18,3,246053.1,2579.333,95.80952
"11984","35080","2020",34,32,2,196642.6,1910.794,104.8529
"11985","35081","2020",14,14,0,201408.1,2167.571,92.85714
"11986","35082","2020",23,23,0,145560.2,1357.174,109.7826
"11987","35084","2020",16,16,0,98972.81,1331.375,76.75
"11988","35085","2020",71,57,14,160310.9,1718.972,98.39437
"11989","35086","2020",11,11,0,105372.7,1170.273,93.81818
"11990","35087","2020",12,12,0,175233.3,1667.167,103.25
"11991","35088","2020",53,47,6,204857.9,2090.849,101.3585
"11992","35089","2020",9,9,0,92186.11,1518.556,68.66667
"11993","35090","2020",32,22,10,185044.4,1873.562,100.1875
"11994","35091","2020",13,13,0,172306.2,1616,115.9231
"11995","35092","2020",9,9,0,157668.2,1392.778,117.4444
"11996","35093","2020",319,138,181,341263.9,4593.038,74.5047
"11997","35094","2020",26,26,0,175992.3,1605.423,113.5
"11998","35095","2020",106,66,40,149394.8,1838.679,82.48113
"11999","35096","2020",33,18,15,162019.6,1991.455,87.81818
"12000","35097","2020",25,25,0,154385.6,1475.96,105.92
"12001","35098","2020",9,9,0,148211.1,1349.556,108.3333
"12002","35099","2020",42,34,8,228188.5,2348.143,97.83333
"12003","35101","2020",12,12,0,178620.8,1651.167,112
"12004","35102","2020",6,6,0,93833.33,1224.667,85.5
"12005","35103","2020",7,7,0,134457.1,1153.571,116.5714
"12006","35104","2020",17,17,0,162114.1,1532.588,100.7647
"12007","35105","2020",16,16,0,188209.8,1721.875,115.0625
"12008","35106","2020",34,34,0,141173.8,1334.941,102.4118
"12009","35107","2020",17,17,0,189808.6,2065.412,91.70588
"12010","35108","2020",13,13,0,173930.8,1907.846,95
"12011","35109","2020",27,23,4,184207.4,1795.37,107.037
"12012","35110","2020",14,14,0,152073.6,1325.714,119.2857
"12013","35111","2020",10,10,0,115650,1126,101.4
"12014","35112","2020",11,11,0,136954.5,1350.727,105.2727
"12015","35114","2020",3,3,0,123526.7,1138.333,107
"12016","35115","2020",291,156,135,134874.8,1576.962,85.28179
"12017","35116","2020",31,31,0,167670.8,1714.71,99.93548
"12018","35117","2020",28,27,1,85532.86,854.1786,100.5357
"12019","35118","2020",19,19,0,174612.6,1521.526,116.6316
"12020","35119","2020",6,6,0,181683.3,1304.833,118
"12021","35120","2020",89,53,36,193357.1,2285.798,87.73034
"12022","35121","2020",21,20,1,211436.9,1897.571,112.619
"12023","35122","2020",35,30,5,200227.2,2254.886,89.94286
"12024","35123","2020",58,49,9,197759.7,1942.155,102.1897
"12025","35124","2020",40,40,0,131156.8,1189.3,106.075
"12026","35125","2020",77,63,14,105178.4,1224.896,88.25974
"12027","35126","2020",127,110,17,216382.8,2197.386,100.6535
"12028","35127","2020",65,59,6,194383.8,1720.862,115.6923
"12029","35128","2020",18,18,0,225408.9,2137.444,110.3333
"12030","35130","2020",25,21,4,180220,1754.04,105.56
"12031","35131","2020",55,38,17,200399.9,2292.709,92.14545
"12032","35132","2020",15,15,0,212853.3,1820.733,115.7333
"12033","35133","2020",62,59,3,159424.1,1570.484,104.8065
"12034","35134","2020",3,3,0,231000,1833.667,124
"12035","35135","2020",22,19,3,184633,1594.455,117.7273
"12036","35136","2020",131,81,50,167730.6,2044.221,85.27481
"12037","35137","2020",28,28,0,187152.1,1639.429,111.6071
"12038","35138","2020",13,13,0,169686.7,1521.615,113.4615
"12039","35139","2020",62,53,9,249042,2378.032,107.2419
"12040","35140","2020",5,5,0,97600,995.6,88.4
"12041","35141","2020",10,10,0,174080,1554.3,116.4
"12042","35142","2020",16,16,0,101211.3,1242.25,88.625
"12043","35143","2020",9,9,0,207491.8,2349.556,93.22222
"12044","35144","2020",11,11,0,204031.1,2116,97.27273
"12045","35145","2020",27,27,0,127488.1,1176.852,102.5556
"12046","35146","2020",7,7,0,166104.3,1653.429,106.1429
"12047","35148","2020",3,3,0,140620,1616.333,84.66667
"12048","35149","2020",21,21,0,199721.9,1755.429,118.1905
"12049","35150","2020",31,31,0,179628.2,1652.258,113.4194
"12050","35151","2020",10,10,0,135903.7,1354.5,95.8
"12051","35152","2020",117,86,31,226498.4,2398.359,98.93162
"12052","35153","2020",8,8,0,220376.4,1462.875,145.5
"12053","35154","2020",21,21,0,153451.4,1477.619,104.2857
"12054","35155","2020",6,6,0,123051.7,1380.833,88.66667
"12055","35156","2020",10,10,0,174515,1373.3,111
"12056","35157","2020",13,13,0,98456.92,1129.846,85.61538
"12057","35159","2020",6,6,0,180583.3,1523.667,115.8333
"12058","35160","2020",4,3,1,146250,1399.75,93.5
"12059","35161","2020",34,34,0,173930.5,1695.588,104.4706
"12060","35162","2020",40,35,5,101870.6,1000.95,97.275
"12061","35163","2020",21,21,0,118795.2,1153.952,102.2857
"12062","35164","2020",10,10,0,107342.3,1062.1,104
"12063","35165","2020",16,16,0,131865.6,1246.312,106.25
"12064","35166","2020",7,7,0,134721.4,1475,102
"12065","35167","2020",55,53,2,107911,1230.891,91.69091
"12066","35168","2020",62,61,1,129306.2,1386.081,99.20968
"12067","35169","2020",19,19,0,126610.6,1356.158,103.3684
"12068","35170","2020",13,13,0,111605,1171.308,95.84615
"12069","35171","2020",24,24,0,144861,1375.25,106.3333
"12070","35172","2020",34,34,0,129399.9,1526.529,90.91176
"12071","35173","2020",107,81,26,270794.1,2615.477,102.785
"12072","35174","2020",5,5,0,119199,1069.8,104.4
"12073","35175","2020",8,8,0,127153.1,1351.625,94
"12074","35176","2020",81,80,1,128252.3,1413.222,89.03704
"12075","35177","2020",58,42,16,258528.1,2504.534,101.7241
"12076","35178","2020",26,26,0,205999.3,1673.423,122.8077
"12077","35179","2020",59,50,9,178654.1,1856.322,100.7288
"12078","35180","2020",10,10,0,145063.3,1507.4,104.1
"12079","35181","2020",28,28,0,357563.9,3028.929,119.4643
"12080","35183","2020",8,8,0,160811.2,1546.125,110.5
"12081","35184","2020",76,66,10,165974.8,1675.934,99.43421
"12082","35185","2020",4,4,0,79696.25,858,93.25
"12083","35186","2020",22,21,1,164389.4,1818.727,101.1364
"12084","35187","2020",19,19,0,186869.3,1810.684,105.5789
"12085","35188","2020",81,54,27,218889,2311.704,93.55556
"12086","35189","2020",35,15,20,231673.1,2693,86.94286
"12087","35190","2020",4,4,0,108725,798,134
"12088","35191","2020",39,38,1,126117.9,1261.128,103
"12089","35192","2020",3,3,0,127251.3,1177,97
"12090","35193","2020",21,21,0,214269.5,2207.095,102.9048
"12091","35194","2020",16,16,0,175835.6,1384.75,125.8125
"12092","35195","2020",34,28,6,166434.3,1693.853,102.7353
"12093","35196","2020",128,67,61,202201.6,2449.875,85.01562
"12094","35197","2020",15,15,0,236481.4,1855.867,128
"12095","35198","2020",13,13,0,197146.2,1698.846,107.5385
"12096","35199","2020",2,2,0,118500,1407,83
"12097","35200","2020",10,10,0,128350,1312.9,95.1
"12098","35201","2020",13,13,0,131307.7,1281.154,104.9231
"12099","35202","2020",12,12,0,142673.8,1304.833,104.5833
"12100","35204","2020",37,33,4,225135.4,2212.216,103.6757
"12101","35205","2020",9,9,0,176388.9,1237.667,134.4444
"12102","35206","2020",97,63,34,249077,2551.278,99.02062
"12103","35207","2020",59,40,19,247457.9,2453.339,101.6102
"12104","35208","2020",73,56,17,226728.8,2276.479,101.726
"12105","35210","2020",164,88,76,276195.2,2856.951,98.43902
"12106","35211","2020",28,28,0,164421,1727.679,102.0714
"12107","35212","2020",13,13,0,151274.3,1620.615,98.84615
"12108","35214","2020",8,8,0,141986.9,1396.125,102.625
"12109","35215","2020",14,14,0,144810,1418.571,103.6429
"12110","35216","2020",29,12,17,159680.1,2101.034,76.44828
"12111","35217","2020",14,14,0,102769.3,1207.786,84.64286
"12112","35218","2020",11,11,0,206376,1809.364,116.1818
"12113","35219","2020",61,51,10,105721.6,1289.689,86.90164
"12114","35220","2020",53,51,2,213931.3,1968.472,117.6981
"12115","35221","2020",30,30,0,149921.2,1556.967,93.56667
"12116","35222","2020",31,31,0,108381.4,1246.613,85.64516
"12117","35223","2020",49,47,2,148435.5,1617.714,91.32653
"12118","35224","2020",50,50,0,169611.3,1730.24,99.22
"12119","35225","2020",18,13,5,125189.4,1409.167,93.44444
"12120","35226","2020",29,25,4,154525.9,1743.793,95.27586
"12121","35227","2020",65,50,15,220059.4,2124.892,106.2769
"12122","35228","2020",149,104,45,218418.8,2573.094,87.14765
"12123","35229","2020",11,11,0,192092.9,1716.818,112.1818
"12124","35230","2020",9,8,1,109596.9,1324.667,78.77778
"12125","35231","2020",15,11,4,199447.8,1794.067,110.3333
"12126","35232","2020",7,7,0,88898.57,949.7143,88.42857
"12127","35233","2020",23,23,0,158778,1683.304,91.34783
"12128","35234","2020",15,15,0,113066.7,1355.467,84.26667
"12129","35235","2020",18,18,0,146864.6,1342.833,103.7222
"12130","35236","2020",167,95,72,130444.7,1523.946,89.53293
"12131","35237","2020",12,12,0,131815.3,1396.417,100.8333
"12132","35238","2020",3504,509,2995,235472.5,3556.479,66.69606
"12133","35239","2020",75,70,5,154913.2,1618.347,99.29333
"12134","35240","2020",156,86,70,236765.4,2670.66,90.76282
"12135","35241","2020",47,40,7,286547.2,2912.617,101.766
"12136","35242","2020",7,7,0,130971.4,898.8571,143.2857
"12137","35243","2020",20,20,0,190835,1527.1,127.5
"12138","35244","2020",4,4,0,115500,1083,106.25
"12139","35245","2020",40,32,8,179722.5,2079.825,88.325
"12140","35246","2020",19,19,0,198344.7,1903,105.6316
"12141","35247","2020",19,18,1,115257.7,1399.842,85.15789
"12142","35248","2020",6,6,0,93916.67,981.3333,92.16667
"12143","35249","2020",16,16,0,96375.56,1093.688,93.75
"12144","35250","2020",37,18,19,175497.9,2165.919,81.72973
"12145","35251","2020",57,35,22,188127.8,2067.86,90.21053
"12146","35252","2020",10,9,1,155728.9,1682.4,94.9
"12147","35253","2020",15,15,0,177303.3,2082.6,89.06667
"12148","35255","2020",20,20,0,226572,2184.1,109.2
"12149","35256","2020",68,53,15,344419.5,3872.279,98.54412
"12150","35257","2020",55,53,2,148333.3,1413.582,104.5636
"12151","35258","2020",3,3,0,82966.67,1121.333,75
"12152","35259","2020",17,15,2,121195.9,1315.235,88.47059
"12153","35260","2020",9,9,0,106341,1600.778,75.88889
"12154","35261","2020",2,2,0,152500,1110.5,159.5
"12155","35262","2020",7,7,0,102350,1535.857,63
"12156","35263","2020",51,49,2,369099.1,3151.863,119.902
"12157","35264","2020",17,16,1,216205.9,2110.294,106.8235
"12158","35265","2020",31,30,1,156335,1861.097,90.77419
"12159","35266","2020",62,41,21,205070.2,2294.516,90.14516
"12160","35268","2020",7,7,0,89141.43,888.1429,95.42857
"12161","35270","2020",4,4,0,146649.2,2902.5,76.5
"12162","35271","2020",21,21,0,116462.1,1121.714,103.6667
"12163","35272","2020",13,13,0,165054.8,1546.077,102.4615
"12164","35273","2020",34,34,0,137317.6,1294.765,109.8824
"12165","35274","2020",11,11,0,250454.5,2194,118.8182
"12166","35275","2020",61,43,18,254895.3,2435.689,103.2295
"12167","35276","2020",8,8,0,204415,1868.75,118
